sample population group sex
B_SZ_H01_1 cnx2 cornix 1
B_SZ_H01_2 cnx2 cornix 1
B_SZ_H02_1 cnx2 cornix 1
B_SZ_H02_2 cnx2 cornix 1
B_So_H01_1 cnx2 cornix 1
B_So_H01_2 cnx2 cornix 1
B_So_H02_1 cnx2 cornix 1
B_So_H02_2 cnx2 cornix 1
B_So_H03_1 cnx2 cornix 1
B_So_H03_2 cnx2 cornix 1
B_So_H04_1 cnx2 cornix 1
B_So_H04_2 cnx2 cornix 1
B_un_H01_1 cnx2 cornix 1
B_un_H01_2 cnx2 cornix 1
CHN_Gu_P01_1 pec1 pallescens 1
CHN_Gu_P01_2 pec1 pallescens 1
D_Ko_C02_1 cor2 corone 1
D_Ko_C02_2 cor2 corone 1
D_Ko_C04_1 cor2 corone 1
D_Ko_C04_2 cor2 corone 1
D_Ko_C05_1 cor2 corone 1
D_Ko_C05_2 cor2 corone 1
D_Ko_C08_1 cor2 corone 1
D_Ko_C08_2 cor2 corone 1
D_Ko_C11_1 cor2 corone 1
D_Ko_C11_2 cor2 corone 1
D_Ko_C13_1 cor2 corone 1
D_Ko_C13_2 cor2 corone 1
D_Ko_C15_1 cor2 corone 1
D_Ko_C15_2 cor2 corone 1
D_Ko_C19_1 cor2 corone 1
D_Ko_C19_2 cor2 corone 1
D_Ko_C20_1 cor2 corone 1
D_Ko_C20_2 cor2 corone 1
D_Ra_C01_1 cor2 corone 1
D_Ra_C01_2 cor2 corone 1
D_Ra_C05_1 cor2 corone 1
D_Ra_C05_2 cor2 corone 1
D_Ra_C06_1 cor2 corone 1
D_Ra_C06_2 cor2 corone 1
D_Ra_C11_1 cor2 corone 1
D_Ra_C11_2 cor2 corone 1
D_Ra_C14_1 cor2 corone 1
D_Ra_C14_2 cor2 corone 1
D_Ra_C16_1 cor2 corone 1
D_Ra_C16_2 cor2 corone 1
E_Vi_C01_1 cor1 corone 1
E_Vi_C01_2 cor1 corone 1
E_Vi_C05_1 cor1 corone 1
E_Vi_C05_2 cor1 corone 1
E_Vi_C08_1 cor1 corone 1
E_Vi_C08_2 cor1 corone 1
E_Vi_C14_1 cor1 corone 1
E_Vi_C14_2 cor1 corone 1
E_Vi_C19_1 cor1 corone 1
E_Vi_C19_2 cor1 corone 1
E_Vi_C22_1 cor1 corone 1
E_Vi_C22_2 cor1 corone 1
E_Vi_C23_1 cor1 corone 1
E_Vi_C23_2 cor1 corone 1
E_Vi_C32_1 cor1 corone 1
E_Vi_C32_2 cor1 corone 1
E_Vi_C37_1 cor1 corone 1
E_Vi_C37_2 cor1 corone 1
E_Vi_C44_1 cor1 corone 1
E_Vi_C44_2 cor1 corone 1
E_Vi_C46_1 cor1 corone 1
E_Vi_C46_2 cor1 corone 1
E_Vi_C48_1 cor1 corone 1
E_Vi_C48_2 cor1 corone 1
E_Vi_C51_1 cor1 corone 1
E_Vi_C51_2 cor1 corone 1
E_Vi_C57_1 cor1 corone 1
E_Vi_C57_2 cor1 corone 1
E_Vi_C58_1 cor1 corone 1
E_Vi_C58_2 cor1 corone 1
F_Cd01_1 cor3 corone 1
F_Cd01_2 cor3 corone 1
F_Ch01_1 cor3 corone 1
F_Ch01_2 cor3 corone 1
F_Co01_1 cnx5 cornix 1
F_Co01_2 cnx5 cornix 1
F_Co02_1 cnx5 cornix 1
F_Co02_2 cnx5 cornix 1
F_Co03_1 cnx5 cornix 1
F_Co03_2 cnx5 cornix 1
F_Gi01_1 cor3 corone 1
F_Gi01_2 cor3 corone 1
F_Is01_1 cor3 corone 1
F_Is01_2 cor3 corone 1
F_Is02_1 cor3 corone 1
F_Is02_2 cor3 corone 1
F_Oi01_1 cor3 corone 1
F_Oi01_2 cor3 corone 1
F_Pa01_1 cor3 corone 1
F_Pa01_2 cor3 corone 1
F_Pd01_1 cor3 corone 1
F_Pd01_2 cor3 corone 1
F_Va01_1 cor3 corone 1
F_Va01_2 cor3 corone 1
IRL_Lm_H07_1 hyb1 cornix 1
IRL_Lm_H07_2 hyb1 cornix 1
IRL_Lm_H08_1 hyb1 cornix 1
IRL_Lm_H08_2 hyb1 cornix 1
IRL_Lm_H10_1 hyb1 cornix 1
IRL_Lm_H10_2 hyb1 cornix 1
IRL_Lm_H12_1 hyb1 cornix 1
IRL_Lm_H12_2 hyb1 cornix 1
IRL_Lm_H15_1 hyb1 cornix 1
IRL_Lm_H15_2 hyb1 cornix 1
IRL_Lm_H16_1 hyb1 cornix 1
IRL_Lm_H16_2 hyb1 cornix 1
ISR_TA_H01_1 cnx2 cornix 1
ISR_TA_H01_2 cnx2 cornix 1
ISR_TA_H02_1 cnx2 cornix 1
ISR_TA_H02_2 cnx2 cornix 1
ISR_TA_H04_1 cnx2 cornix 1
ISR_TA_H04_2 cnx2 cornix 1
ITA_Ro_H01_1 cnx1 cornix 1
ITA_Ro_H01_2 cnx1 cornix 1
ITA_Ro_H02_1 cnx1 cornix 1
ITA_Ro_H02_2 cnx1 cornix 1
ITA_Ro_H03_1 cnx1 cornix 1
ITA_Ro_H03_2 cnx1 cornix 1
ITA_Ro_H04_1 cnx1 cornix 1
ITA_Ro_H04_2 cnx1 cornix 1
ITA_Ro_H05_1 cnx1 cornix 1
ITA_Ro_H05_2 cnx1 cornix 1
ITA_Ro_H06_1 cnx1 cornix 1
ITA_Ro_H06_2 cnx1 cornix 1
ITA_Ro_H07_1 cnx1 cornix 1
ITA_Ro_H07_2 cnx1 cornix 1
ITA_Ro_H08_1 cnx1 cornix 1
ITA_Ro_H08_2 cnx1 cornix 1
ITA_Ro_H09_1 cnx1 cornix 1
ITA_Ro_H09_2 cnx1 cornix 1
ITA_Ro_H10_1 cnx1 cornix 1
ITA_Ro_H10_2 cnx1 cornix 1
ITA_Ro_H11_1 cnx1 cornix 1
ITA_Ro_H11_2 cnx1 cornix 1
ITA_Ro_H12_1 cnx1 cornix 1
ITA_Ro_H12_2 cnx1 cornix 1
ITA_Ro_H13_1 cnx1 cornix 1
ITA_Ro_H13_2 cnx1 cornix 1
ITA_Ro_H14_1 cnx1 cornix 1
ITA_Ro_H14_2 cnx1 cornix 1
PL_Wa_H02_1 cnx3 cornix 1
PL_Wa_H02_2 cnx3 cornix 1
PL_Wa_H03_1 cnx3 cornix 1
PL_Wa_H03_2 cnx3 cornix 1
PL_Wa_H05_1 cnx3 cornix 1
PL_Wa_H05_2 cnx3 cornix 1
PL_Wa_H06_1 cnx3 cornix 1
PL_Wa_H06_2 cnx3 cornix 1
PL_Wa_H09_1 cnx3 cornix 1
PL_Wa_H09_2 cnx3 cornix 1
PL_Wa_H11_1 cnx3 cornix 1
PL_Wa_H11_2 cnx3 cornix 1
PL_Wa_H14_1 cnx3 cornix 1
PL_Wa_H14_2 cnx3 cornix 1
PL_Wa_H16_1 cnx3 cornix 1
PL_Wa_H16_2 cnx3 cornix 1
