NC_046332.1 chr1 
NC_046333.1 chr2 
NC_046334.1 chr4 
NC_046335.1 chr5 
NC_046336.1 chr6 
NC_046337.1 chr7 
NC_046338.1 chr8 
NC_046339.1 chr9 
NC_046340.1 chr10 
NC_046341.1 chr11 
NC_046342.1 chr12 
NC_046343.1 chr13 
NC_046344.1 chr14 
NC_046345.1 chr15 
NC_046346.1 chr17 
NC_046347.1 chr18 
NC_046348.1 chr19 
NC_046349.1 chr20 
NC_046350.1 chr21 
NC_046351.1 chr22 
NC_046352.1 chr23 
NC_046353.1 chr24 
NC_046354.1 chr26 
NC_046355.1 chr27 
NC_046356.1 chr28 
NC_047056.1 chr3 
NC_047057.1 chr1A 
NC_047058.1 chr4A 
NW_024108678.1 scaffold1 
NW_024108679.1 scaffold10 
NW_024108682.1 scaffold14 
NW_024108683.1 scaffold15 
NW_024108684.1 scaffold16 
NW_024108685.1 scaffold17 
NW_024108687.1 scaffold2 
NW_024108688.1 scaffold3 
